City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Desc
113,Jalu,LY,29.0331,21.5482,56.77,55,0,12.3,Clear
114,Verin,ES,41.9415,-7.4381,38.57,96,7,5.19,Clear
115,Puerto Ayora,EC,-0.7393,-90.3518,84.16,89,74,10.0,Clouds
116,Richards Bay,ZA,-28.783,32.0377,71.83,88,7,3.36,Clear
117,At-Bashi,KG,41.1702,75.8106,0.23,57,75,3.56,Clouds
118,Atuona,PF,-9.8,-139.0333,79.0,75,51,20.47,Clouds
119,Kawalu,ID,-7.3817,108.2082,71.91,95,100,2.93,Clouds
120,Port Lincoln,AU,-34.7333,135.8667,67.82,85,100,4.47,Clouds
121,Zaysan,KZ,47.4667,84.8667,-3.64,85,32,2.35,Clouds
122,Bethel,US,41.3712,-73.414,40.77,66,100,9.22,Snow
123,Broome,US,42.2506,-75.833,35.46,66,100,6.91,Clouds
124,Vaini,TO,-21.2,-175.2,77.16,94,100,2.3,Rain
125,Elliot Lake,CA,46.3834,-82.6331,25.34,79,100,17.2,Clouds
126,San Quintin,MX,30.4833,-115.95,62.76,31,86,8.19,Clouds
127,Hirado,JP,33.3597,129.5531,32.4,65,100,22.24,Clouds
128,East London,ZA,-33.0153,27.9116,74.88,86,23,10.49,Clouds
129,Ribeira Grande,PT,38.5167,-28.7,57.78,72,75,8.05,Clouds
130,Thompson,CA,55.7435,-97.8558,-12.21,88,97,8.63,Clouds
131,Inhambane,MZ,-23.865,35.3833,76.62,85,30,12.28,Clouds
132,Camacha,PT,33.0833,-16.3333,56.62,67,75,9.22,Clouds
133,Gwanda,ZW,-20.9333,29.0,69.71,53,94,5.66,Clouds
134,Karratha,AU,-20.7377,116.8463,83.01,75,6,6.4,Clear
135,Kropotkin,RU,45.4375,40.5756,30.92,73,3,9.48,Clear
136,Bilibino,RU,68.0546,166.4372,-20.54,93,72,5.64,Clouds
137,Kaitangata,NZ,-46.2817,169.8464,56.35,58,2,3.53,Clear
138,Victoria,HK,22.2855,114.1577,54.25,32,99,15.01,Clouds
139,Stromness,GB,58.965,-3.296,44.87,88,100,15.99,Clouds
140,Kollam,IN,8.8833,76.6,72.93,74,75,5.68,Clouds
141,Pisco,PE,-13.7,-76.2167,78.85,69,0,13.8,Clear
142,Tezu,IN,27.9167,96.1667,62.13,42,47,3.65,Clouds
143,Kloulklubed,PW,7.0419,134.2556,75.7,85,100,8.63,Clouds
144,Kaberamaido,UG,1.7389,33.1594,75.56,34,3,7.94,Clear
145,Lagos,NG,6.5833,3.75,80.8,84,48,8.21,Clouds
146,Adrar,MR,20.5022,-10.0711,61.16,16,100,11.59,Clouds
147,Bereda,ES,43.2686,-7.5406,41.41,100,99,6.02,Clouds
148,Mount Isa,AU,-20.7333,139.5,74.97,73,20,4.61,Clouds
149,Newala,TZ,-10.9431,39.2787,66.76,98,75,4.36,Clouds
150,Poronaysk,RU,49.2167,143.1167,-10.82,96,98,6.13,Clouds
151,Chivilcoy,AR,-34.8957,-60.0167,79.43,56,91,9.55,Clouds
152,Jinchang,CN,38.4953,102.1739,14.72,32,2,1.3,Clear
153,Rawson,AR,-43.3002,-65.1023,72.09,35,0,7.05,Clear
154,Ulaangom,MN,49.9811,92.0667,-16.83,96,96,2.48,Clouds
155,Saint-Joseph,RE,-21.3667,55.6167,77.38,89,82,3.2,Clouds
156,Ancud,CL,-41.8697,-73.8203,60.75,62,25,10.89,Clouds
157,Dicabisagan,PH,17.0818,122.4157,70.88,88,100,17.83,Clouds
158,Vardo,NO,70.3705,31.1107,31.98,86,75,20.71,Clouds
159,Cidreira,BR,-30.1811,-50.2056,79.14,76,6,17.38,Clear
160,Innisfail,AU,-17.5333,146.0333,76.98,90,94,1.68,Rain
161,Geraldton,AU,-28.7667,114.6,61.21,82,0,8.05,Clear
162,Nuuk,GL,64.1835,-51.7216,23.61,68,75,26.46,Snow
163,Dunedin,NZ,-45.8742,170.5036,56.17,61,1,3.06,Clear
164,Chapais,CA,49.7834,-74.8492,2.57,89,96,5.32,Clouds
165,Komsomolskiy,UZ,40.4272,71.7189,21.92,79,66,4.61,Mist
166,Castro,BR,-24.7911,-50.0119,77.29,67,10,2.66,Clear
167,Belaya Gora,RU,68.5333,146.4167,-33.05,97,99,2.35,Clouds
168,Banjar,ID,-8.19,114.9675,76.8,91,100,4.25,Clouds
169,Ritchie,ZA,-29.038,24.6028,81.97,21,25,8.39,Clouds
170,Lazaro Cardenas,MX,17.9583,-102.2,84.63,41,13,11.07,Clouds
171,Egvekinot,RU,66.3167,-179.1667,-3.35,91,96,6.91,Clouds
172,Donskoy,RU,53.9711,38.3363,20.16,95,100,4.5,Clouds
173,Port Elizabeth,ZA,-33.918,25.5701,73.31,93,40,8.99,Clouds
174,Krasnoselkup,RU,65.7,82.4667,6.64,97,99,10.78,Clouds
175,Mecca,SA,21.4267,39.8261,73.15,58,1,3.09,Clear
176,Lufilufi,WS,-13.8745,-171.5986,83.79,73,72,10.78,Rain
177,Melfi,IT,40.9965,15.6514,38.5,98,100,3.11,Clouds
178,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,85,97,13.42,Clouds
179,Bathsheba,BB,13.2167,-59.5167,81.21,54,20,8.05,Clouds
180,Luderitz,NA,-26.6481,15.1594,64.62,83,0,17.13,Clear
181,Bukama,CD,-9.2,25.85,70.21,96,97,2.28,Rain
182,Bozoum,CF,6.3193,16.3799,76.24,22,100,3.69,Clouds
183,Faanui,PF,-16.4833,-151.75,80.74,75,14,12.62,Clouds
184,Lagoa,PT,39.05,-27.9833,57.49,66,99,15.35,Clouds
185,Zhigansk,RU,66.7697,123.3711,-46.5,97,92,9.8,Clouds
186,Cabo San Lucas,MX,22.8909,-109.9124,78.1,56,40,18.41,Clouds
187,Colares,PT,38.7992,-9.4469,50.76,72,0,24.0,Clear
188,Nagornyy,RU,52.7959,83.5498,16.61,73,100,20.87,Clouds
189,Tromso,NO,69.6496,18.957,41.02,81,75,20.71,Rain
190,Narsaq,GL,60.9167,-46.05,35.82,97,100,13.49,Rain
191,Cayenne,GF,4.9333,-52.3333,78.84,73,75,3.44,Clouds
192,Butterworth,MY,5.3991,100.3638,80.64,74,20,2.3,Clouds
193,Skelleftea,SE,64.7507,20.9528,37.0,84,100,13.8,Clouds
194,Tura,IN,25.5198,90.2201,60.53,68,12,2.08,Clouds
195,Alto Araguaia,BR,-17.3147,-53.2153,74.03,89,86,9.48,Clouds
196,Makaryev,RU,57.8797,43.8069,7.39,98,31,4.88,Clouds
197,Lityn,UA,49.3251,28.0809,27.55,79,83,8.08,Clouds
198,Xichang,CN,27.8964,102.2634,38.53,68,100,2.8,Clouds
199,Mayo,US,38.8876,-76.5119,45.5,40,0,9.22,Clear
200,Yerbogachen,RU,61.2767,108.0108,0.95,98,100,4.05,Snow
201,Necochea,AR,-38.5473,-58.7368,72.41,57,62,16.35,Clouds
202,Mount Gambier,AU,-37.8333,140.7667,67.64,64,100,4.29,Rain
203,Korla,CN,41.7597,86.1469,12.9,71,1,1.81,Clear
204,Arrifes,PT,37.7667,-25.7,53.85,82,40,8.05,Clouds
205,Marsa Matruh,EG,31.3525,27.2453,61.07,64,0,6.44,Clear
206,Cacapava Do Sul,BR,-30.5122,-53.4914,94.64,24,70,7.65,Clouds
207,Zwettl,AT,48.6,15.1667,28.04,89,100,4.14,Snow
208,Alice Springs,AU,-23.7,133.8833,74.75,83,100,12.66,Clouds
209,Kinshasa,CD,-4.3246,15.3215,73.71,91,96,3.33,Clouds
